rainfall,soil_moisture,slope,water_level,risk
20,25,10,20,0
25,30,15,25,0
30,35,20,30,0
35,40,22,35,0
40,45,25,40,0
45,50,28,45,0
50,55,30,50,1
55,60,32,55,1
60,65,35,60,1
65,70,36,65,1
70,72,38,68,1
75,75,40,70,1
80,78,42,72,1
85,80,45,75,1
90,82,48,78,1
95,85,50,80,1
100,88,52,85,1
110,90,55,88,1
120,92,60,90,1
130,95,65,95,1
25,28,12,25,0
32,38,18,32,0
42,48,24,42,0
48,52,27,48,0
58,62,33,58,1
68,68,37,63,1
78,76,41,71,1
88,81,46,77,1
98,86,51,83,1
108,89,56,87,1
118,93,62,92,1
